0,none,norm,2,435,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Jam@F3n+Ib@E9rico,0,null,37,195,5,jsp,146
146,application/x-www-form-urlencoded,norm,2,501,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Jam@F3n+Ib@E9rico,0,null,28,48,5,jsp,0
0,none,norm,2,366,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Jam@F3n+Ib@E9rico,0,null,21,126,5,jsp,77
77,application/x-www-form-urlencoded,norm,0,431,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Jam@F3n+Ib@E9rico,0,null,12,48,5,jsp,0
0,none,norm,0,280,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,9,40,0,gif,0
0,none,norm,0,411,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,bob@40@3CSCRipt@3Ealert@28Paros@29@3C@2FscrIPT@3E.parosproxy.org,24,171,5,jsp,118
118,application/x-www-form-urlencoded,norm,0,477,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,9,bob@40@3CSCRipt@3Ealert@28Paros@29@3C@2FscrIPT@3E.parosproxy.org,15,52,5,jsp,0
0,none,norm,0,362,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,grimshaw,17,122,5,jsp,69
69,application/x-www-form-urlencoded,norm,0,427,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,16,grimshaw,8,52,5,jsp,0
0,none,norm,0,356,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,grimshaw,14,116,5,jsp,63
63,application/x-www-form-urlencoded,norm,0,421,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,9,grimshaw,5,52,5,jsp,0
0,none,norm,0,303,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,10,63,1,jsp,5
5,application/x-www-form-urlencoded,norm,0,367,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,1,57,1,jsp,0
0,none,norm,0,301,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,11,61,1,jsp,12
12,application/x-www-form-urlencoded,norm,0,366,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,2,48,1,jsp,0
0,none,norm,0,323,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,11,83,1,jsp,34
34,application/x-www-form-urlencoded,norm,0,388,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,2,48,1,jsp,0
0,none,norm,0,318,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,11,78,0,asp,0
0,none,norm,0,394,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,32,154,3,jsp,106
106,application/x-www-form-urlencoded,norm,0,460,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,23,47,3,jsp,0
0,none,norm,0,333,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,15,93,3,jsp,45
45,application/x-www-form-urlencoded,norm,0,398,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,6,47,3,jsp,0
0,none,norm,0,331,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,14,91,3,jsp,43
43,application/x-www-form-urlencoded,norm,0,396,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,5,47,3,jsp,0
252,application/x-www-form-urlencoded,norm,0,608,no-cache,localhost:9090,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,balademas.mareuil6@40enlanzarote.com.vc,Mozilla/5.0,Samia,8,armand,24,50,13,jsp,0
0,none,norm,0,615,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,balademas.mareuil6@40enlanzarote.com.vc,Mozilla/5.0,Samia,8,armand,43,375,13,jsp,324
324,application/x-www-form-urlencoded,norm,0,681,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,balademas.mareuil6@40enlanzarote.com.vc,Mozilla/5.0,Samia,8,armand,34,50,13,jsp,0
0,none,norm,0,599,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,balademas.mareuil6@40enlanzarote.com.vc,Mozilla/5.0,any@250D@250ASet-cookie@253A@2BTamper@253D5765205567234876235,8,armand,39,359,13,jsp,308
308,application/x-www-form-urlencoded,norm,0,665,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,balademas.mareuil6@40enlanzarote.com.vc,Mozilla/5.0,any@250D@250ASet-cookie@253A@2BTamper@253D5765205567234876235,8,armand,30,50,13,jsp,0
0,none,norm,0,545,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,balademas.mareuil6@40enlanzarote.com.vc,Mozilla/5.0,Samia,8,bau*gnon,34,305,13,jsp,254
